ID,Label
1,L. Messi
2,Cristiano Ronaldo
3,J. Oblak
4,R. Lewandowski
5,Neymar Jr
6,K. De Bruyne
7,K. Mbappé
8,M. ter Stegen
9,V. van Dijk
10,Alisson
11,S. Mané
12,M. Salah
13,T. Courtois
14,S. Agüero
15,Sergio Ramos
16,K. Benzema
17,M. Neuer
18,Casemiro
19,Ederson
20,R. Sterling
21,J. Kimmich
22,H. Kane
23,P. Dybala
24,S. Handanovič
25,T. Kroos
26,E. Hazard
27,K. Koulibaly
28,N. Kanté
29,J. Sancho
30,T. Alexander-Arnold
31,Bruno Fernandes
32,A. Laporte
33,Fabinho
34,A. Robertson
35,Bernardo Silva
36,G. Chiellini
37,H. Lloris
38,L. Suárez
39,L. Modrić
40,A. Di María
41,W. Szczęsny
42,P. Aubameyang
43,Sergio Busquets
44,C. Immobile
45,K. Navas
46,A. Griezmann
47,H. Son
48,Roberto Firmino
49,R. Varane
50,P. Pogba
51,M. Verratti
52,A. Gómez
53,Piqué
54,David Silva
55,Y. Sommer
56,M. Hummels
57,J. Henderson
58,Jordi Alba
59,T. Müller
60,De Gea
61,Carvajal
62,J. Vardy
63,K. Havertz
64,G. Donnarumma
65,M. de Ligt
66,M. Rashford
67,L. Sané
68,F. de Jong
69,Marquinhos
70,C. Lenglet
71,S. Milinković-Savić
72,M. Škriniar
73,M. Depay
74,T. Werner
75,Rodri
76,B. Leno
77,S. Gnabry
78,Ricardo Pereira
79,R. Lukaku
80,Luis Alberto
81,M. Icardi
82,H. Ziyech
83,Thiago Silva
84,D. Mertens
85,M. Pjanić
86,G. Wijnaldum
87,D. Godín
88,T. Alderweireld
89,L. Bonucci
90,P. Gulácsi
91,M. Reus
92,K. Walker
93,Thiago
94,Parejo
95,C. Eriksen
96,Alex Sandro
97,Koke
98,L. Insigne
99,R. Mahrez
100,E. Haaland
101,L. Martínez
102,Oyarzabal
103,N. Süle
104,Arthur
105,L. Goretzka
106,Grimaldo
107,A. Martial
108,J. Brandt
109,K. Coman
110,J. Giménez
111,A. Onana
112,W. Ndidi
113,Saúl
114,R. Bürki
115,S. de Vrij
116,L. Digne
117,R. Guerreiro
118,T. Partey
119,Alex Telles
120,M. Brozović
121,Fernandinho
122,Jesús Navas
123,K. Schmeichel
124,S. Sirigu
125,Lucas Leiva
126,A. Witsel
127,Rui Patrício
128,Azpilicueta
129,Douglas Costa
130,Iago Aspas
131,J. Corona
132,I. Gueye
133,D. Alaba
134,Isco
135,Pizzi
136,W. Ben Yedder
137,J. Iličić
138,R. Jiménez
139,Felipe
140,N. Tagliafico
141,F. Valverde
142,M. Ødegaard
143,O. Dembélé
144,Gayà
145,T. Strakosha
146,Pau López
147,J. Gomez
148,S. Bergwijn
149,F. Mendy
150,A. Wan-Bissaka
151,A. Hakimi
152,A. Romagnoli
153,D. Alli
154,D. van de Beek
155,D. Zakaria
156,Gabriel Jesus
157,S. Umtiti
158,M. Kovačić
159,João Cancelo
160,Nélson Semedo
161,K. Casteels
162,A. Lopes
163,M. Sabitzer
164,Diego Carlos
165,K. Manolas
166,J. Matip
167,Juan Bernat
168,N. Fekir
169,Z. Ibrahimović
170,João Moutinho
171,S. Mandanda
172,G. Higuaín
173,Renato Augusto
174,C. Vela
175,B. Matuidi
176,J. Vertonghen
177,G. Bale
178,Marcelo
179,R. Nainggolan
180,E. Banega
181,E. Džeko
182,A. Vidal
183,Yuri Berchiche
184,Fernando
185,K. Trippier
186,I. Gündoğan
187,Paulinho
188,Oscar
189,K. Trapp
190,Coutinho
191,Muniain
192,L. Hrádecký
193,A. Lacazette
194,Aitor
195,W. Zaha
196,C. Aránguiz
197,D. Tadić
198,Sergi Roberto
199,F. Acerbi
200,Allan
201,Lucas Moura
202,T. Hazard
203,Portu
204,Jorginho
205,E. Višća
206,Gerard Moreno
207,F. Kostić
208,D. Zapata
209,Rafa
210,M. Dúbravka
211,M. Acuña
212,Ronaldo Cabrais
213,Reguilón
214,Fabián
215,L. Hernández
216,Rúben Neves
217,G. Lo Celso
218,A. Areola
219,Kepa
220,M. Maignan
221,Marco Asensio
222,K. Laimer
223,H. Maguire
224,Anderson Talisca
225,A. Correa
226,G. Rulli
227,N. Pépé
228,Marcos Llorente
229,M. Perin
230,E. Can
231,Pacheco
232,David Soria
233,Morata
234,Gabriel Paulista
235,N. Pope
236,L. Ocampos
237,M. Ginter
238,D. Djené
239,J. Pavlenka
240,G. Buffon
241,Raúl Albiol
242,I. Rakitić
243,M. Özil
244,D. Payet
245,L. Bender
246,Sergio Asenjo
247,Willian
248,I. Perišić
249,F. Muslera
250,J. Boateng
251,M. Arnautović
252,A. Kolarov
253,A. Ramsey
254,Canales
255,D. Blind
256,Mário Fernandes
257,O. Baumann
258,Neto
259,Rodrigo
260,J. Rodríguez
261,Danilo Pereira
262,A. Marchesín
263,K. Bellarabi
264,T. Vaclík
265,F. Thauvin
266,Y. Carrasco
267,Q. Promes
268,M. Halstenberg
269,A. Kramarić
270,R. Gosens
271,Raphaelito Anjos
272,Josué Chiamulera
273,João Félix
274,A. Davies
275,H. Aouar
276,Cucurella
277,Ferran Torres
278,Richarlison
279,M. Diaby
280,Gonçalo Guedes
281,C. Pulisic
282,Rúben Dias
283,Renan Lodi
284,O. Vlachodimos
285,Everton
286,T. Souček
287,A. Cragno
288,M. Dembélé
289,T. Lemar
290,Y. Tielemans
291,J. Maddison
292,N. Keïta
293,L. Torreira
294,P. Kimpembe
295,B. Pavard
296,B. Chilwell
297,Raphinha
298,B. Mendy
299,J. Pickford
300,A. Milik
301,Jonny
302,W. Benítez
303,J. Correa
304,Iñaki Williams
305,D. Sánchez
306,A. Rüdiger
307,S. Haller
308,L. Shaw
309,Fred
310,Paco Alcácer
311,S. Savić
312,E. Andrada
313,J. Martínez
314,A. Rabiot
315,M. Dmitrović
316,M. Lazzari
317,Iniesta
318,Pepe
